photo_id,user_id,categorization_date
1,1,2024-01-03
2,2,2024-01-15
3,3,2024-01-20
4,4,2024-02-05
5,5,2024-02-10
6,1,2024-02-15
7,2,2024-02-20
8,3,2024-03-01
9,4,2024-03-05
10,5,2024-03-10
11,6,2024-01-08
12,7,2024-01-18
13,8,2024-02-12
14,9,2024-02-22
15,10,2024-03-15
16,1,2024-03-20
17,2,2024-03-25
18,3,2024-01-12
19,4,2024-02-18
20,5,2024-03-22
21,6,2024-01-25
22,7,2024-02-28
23,8,2024-03-08
24,9,2024-01-30
25,10,2024-02-07
26,1,2024-03-12
27,2,2024-01-22
28,3,2024-02-14
29,4,2024-03-18
30,5,2024-01-27
31,6,2024-02-03
32,7,2024-03-05
33,8,2024-01-10
34,9,2024-02-25
35,10,2024-03-30
36,1,2024-02-19
37,2,2024-03-02
38,3,2024-01-14
39,4,2024-02-21
40,5,2024-03-25
