query_id,user_id,clicks,dwell_time_seconds,query_date
1,1,1,45,2024-10-03
2,2,0,25,2024-10-06
3,3,1,35,2024-10-11
4,4,0,15,2024-10-16
5,5,1,50,2024-10-21
6,6,0,40,2024-10-26
7,7,1,20,2024-10-29
8,8,0,10,2024-10-31
9,9,1,60,2024-10-13
10,10,0,50,2024-10-19
11,11,1,31,2024-10-04
12,12,1,29,2024-10-07
13,13,0,45,2024-10-12
14,14,1,50,2024-10-17
15,5,0,20,2024-10-22
16,6,1,10,2024-10-27
17,7,0,35,2024-10-30
18,8,1,55,2024-10-30
19,9,0,15,2024-10-14
20,10,1,40,2024-10-20
21,11,1,35,2024-09-06
22,12,0,45,2024-09-18
23,13,1,20,2024-11-03
24,14,0,30,2024-11-12
