zone_name,ride_date,total_requests,accepted_requests,declined_requests,acceptance_rate
Downtown,2024-04-10,100,80,20,0.8
Downtown,2024-05-01,90,40,50,0.4444444444
Downtown,2024-06-20,100,90,10,0.9
Suburban,2024-04-05,80,60,20,0.75
Suburban,2024-05-10,80,30,50,0.375
Suburban,2024-06-25,80,50,30,0.625
Airport,2024-04-15,110,100,10,0.9090909091
Airport,2024-05-20,32,20,12,0.625
Airport,2024-06-05,17,5,12,0.2941176471
Midtown,2024-04-20,80,70,10,0.875
Midtown,2024-05-15,80,30,50,0.375
Uptown,2024-05-30,80,60,20,0.75
Uptown,2024-06-10,80,30,50,0.375
Uptown,2024-04-25,80,55,25,0.6875
Uptown,2024-06-15,90,70,20,0.7777777778
