sale_id,seller_id,sale_amount,fee_amount_percentage,sale_date
1,1,500,25,2024-04-05
2,2,600,30,2024-04-07
3,3,700,35,2024-04-10
4,4,800,40,2024-04-15
5,5,650,32,2024-04-20
6,1,500,27,2024-04-28
7,1,550,28,2024-05-03
8,1,580,29,2024-05-15
9,2,620,31,2024-05-05
10,2,630,32,2024-05-20
11,3,710,36,2024-05-08
12,3,720,37,2024-05-22
13,4,810,41,2024-05-10
14,4,805,40,2024-05-25
15,5,660,33,2024-05-11
16,5,680,34,2024-05-28
17,1,560,28,2024-06-03
18,1,570,29,2024-06-05
19,1,580,30,2024-06-10
20,1,590,31,2024-06-13
21,2,640,32,2024-06-04
22,2,650,33,2024-06-06
23,2,660,34,2024-06-11
24,2,670,35,2024-06-15
25,3,720,36,2024-06-02
26,3,730,37,2024-06-05
27,3,740,38,2024-06-12
28,4,820,42,2024-06-03
29,4,830,43,2024-06-08
30,4,840,44,2024-06-14
31,5,670,34,2024-06-01
32,5,680,35,2024-06-06
33,5,690,36,2024-06-11
34,5,700,37,2024-06-16
