content_id,creator_id,published_date,content_type,impressions_count,likes_count,comments_count,shares_count,new_followers_count
1,1,2024-05-05,Video,1000,150,20,10,50
2,2,2024-05-15,Article,800,80,15,5,70
3,3,2024-05-20,Video,1200,200,30,12,80
4,4,2024-04-10,Podcast,500,60,10,3,30
5,5,2024-04-15,Article,700,90,12,8,40
6,6,2024-04-20,Image,600,75,5,4,35
7,7,2024-04-05,Video,1100,140,25,6,45
8,8,2024-06-01,Podcast,550,70,22,4,55
9,9,2024-06-15,Video,1300,210,35,15,90
10,10,2024-06-20,Image,750,80,18,5,60
11,1,2024-04-22,Article,950,110,19,7,65
12,2,2024-05-25,Podcast,640,85,16,6,75
13,3,2024-06-05,1280,1280,190,28,10,88
14,4,2024-05-30,Image,820,105,13,9,52
15,5,2024-04-12,Article,670,95,14,6,42
