engagement_id,filter_id,interaction_count,engagement_date
1,1,150,2024-07-05
2,2,200,2024-07-10
3,1,180,2024-07-12
4,3,120,2024-07-15
6,2,220,2024-07-25
7,5,110,2024-07-28
8,1,160,2024-07-30
9,6,130,2024-08-02
10,7,1050,2024-08-05
12,6,150,2024-08-12
14,9,950,2024-08-20
16,10,1010,2024-08-25
18,9,800,2024-08-30
19,11,1400,2024-09-03
20,12,1550,2024-09-07
21,11,1450,2024-09-10
22,13,1250,2024-09-12
23,14,1180,2024-09-15
24,12,1600,2024-09-18
25,15,1320,2024-09-20
26,11,1380,2024-09-23
27,13,1200,2024-09-25
28,14,1100,2024-09-28
29,1,95,2024-07-01
30,2,110,2024-07-03
31,3,85,2024-07-08
32,3,98,2024-07-16
34,3,105,2024-07-19
37,9,150,2024-07-29
38,10,165,2024-08-01
39,11,980,2024-08-06
40,12,890,2024-08-09
41,13,920,2024-08-14
42,14,850,2024-08-18
43,15,990,2024-08-23
44,1,80,2024-09-01
45,2,90,2024-09-05
46,3,75,2024-09-09
48,5,88,2024-09-17
49,6,95,2024-09-21
52,9,140,2024-09-30
