supplier_id,delivery_date,component_count,manufacturing_region
101,2024-10-05,1500,North America
102,2024-10-12,2200,Asia
103,2024-10-19,1800,Europe
101,2024-10-26,1200,North America
104,2024-10-08,2500,Asia
105,2024-10-15,900,Europe
102,2024-10-22,2100,Asia
106,2024-10-29,1600,North America
103,2024-10-02,1900,Europe
107,2024-10-09,2300,Asia
108,2024-11-03,3500,North America
102,2024-11-10,4200,Asia
109,2024-11-17,2800,Europe
108,2024-11-24,3800,North America
110,2024-11-06,5100,Asia
101,2024-11-13,2900,North America
104,2024-11-20,3100,Asia
105,2024-11-27,2600,Europe
111,2024-12-01,1700,North America
102,2024-12-08,2000,Asia
103,2024-12-15,1400,Europe
112,2024-12-22,1100,North America
106,2024-12-29,1300,Europe
109,2024-12-05,1900,Europe
111,2024-12-12,2100,North America
112,2024-12-19,1600,North America
107,2024-12-26,1800,Asia
