interaction_id,user_id,track_id,added_date,is_recommended
1,101,1001,2024-10-02,true
2,102,1002,2024-10-03,true
3,101,1003,2024-10-05,false
4,103,1004,2024-10-06,true
5,104,1005,2024-10-07,true
6,102,1006,2024-10-08,false
7,101,1007,2024-10-09,true
8,105,1008,2024-10-10,true
9,104,1009,2024-10-11,false
10,106,1010,2024-10-12,true
11,102,1011,2024-10-13,true
12,103,1012,2024-10-14,true
13,104,1013,2024-10-15,true
14,105,1014,2024-10-16,true
15,106,1015,2024-10-17,false
16,101,1016,2024-10-18,true
17,102,1017,2024-10-19,true
18,103,1018,2024-10-20,true
19,104,1019,2024-10-21,true
20,105,1020,2024-10-22,true
21,106,1021,2024-10-02,false
22,101,1022,2024-10-03,true
23,104,1023,2024-10-05,true
24,102,1024,2024-10-06,false
25,105,1025,2024-10-07,true
26,103,1026,2024-10-08,true
27,101,1027,2024-10-09,true
28,106,1028,2024-10-10,false
29,102,1029,2024-10-11,true
30,104,1030,2024-10-12,true
