watch_id,user_id,content_id,watch_time_minutes,watch_date
1,1,1,120,2024-01-05
2,2,2,45,2024-01-15
3,3,3,90,2024-02-10
4,1,4,60,2024-02-20
5,4,5,150,2024-03-01
6,5,6,30,2024-03-10
7,2,7,80,2024-01-25
8,3,8,50,2024-02-05
9,4,9,100,2024-03-15
10,5,10,40,2024-03-20
11,6,11,70,2024-01-18
12,7,12,110,2024-02-22
13,8,13,55,2024-03-08
14,9,14,35,2024-01-30
15,10,15,65,2024-02-14
16,1,3,95,2024-02-28
17,2,5,145,2024-03-25
18,3,7,75,2024-01-12
19,4,9,105,2024-03-18
20,5,11,85,2024-02-08
21,6,12,115,2024-03-12
22,7,14,38,2024-01-22
23,8,1,125,2024-02-16
24,9,4,58,2024-03-05
25,10,2,42,2024-01-28
