store_id,transaction_id,checkout_start_time,checkout_end_time
1,1,2024-07-05 10:00:00.000000,2024-07-05 10:05:00.000000
1,2,2024-07-12 15:30:00.000000,2024-07-12 15:40:00.000000
2,3,2024-07-06 11:15:00.000000,2024-07-06 11:20:00.000000
2,4,2024-07-20 12:00:00.000000,2024-07-20 12:08:00.000000
3,5,2024-07-07 13:00:00.000000,2024-07-07 13:15:00.000000
3,6,2024-07-21 14:30:00.000000,2024-07-21 14:45:00.000000
4,7,2024-07-08 16:00:00.000000,2024-07-08 16:12:00.000000
4,8,2024-07-22 09:30:00.000000,2024-07-22 09:43:00.000000
5,9,2024-07-09 08:00:00.000000,2024-07-09 08:06:00.000000
5,10,2024-07-23 17:45:00.000000,2024-07-23 17:50:00.000000
6,11,2024-07-10 19:00:00.000000,2024-07-10 19:20:00.000000
6,12,2024-07-24 20:00:00.000000,2024-07-24 20:15:00.000000
7,13,2024-07-11 10:30:00.000000,2024-07-11 10:36:00.000000
7,14,2024-07-25 11:00:00.000000,2024-07-25 11:05:00.000000
8,15,2024-07-12 12:00:00.000000,2024-07-12 12:14:00.000000
8,16,2024-07-26 13:30:00.000000,2024-07-26 13:45:00.000000
9,17,2024-07-13 14:00:00.000000,2024-07-13 14:10:00.000000
9,18,2024-07-27 15:00:00.000000,2024-07-27 15:12:00.000000
10,19,2024-07-14 17:00:00.000000,2024-07-14 17:05:00.000000
10,20,2024-07-28 13:00:00.000000,2024-07-28 13:05:00.000000
